effect,group,term,estimate,std.error,statistic,df,p.value,metric
fixed,NA,(Intercept),1.6194346644180928,0.01183437504037372,136.84158723154277,59.99046587526298,1.416988467961393e-76,cd
fixed,NA,source1,-0.15218503084490115,0.02581031381998831,-5.896287503759226,477.32295543609683,7.040920841150556e-9,cd
fixed,NA,source2,-0.07414170098684404,0.022241257673270575,-3.333521065939861,245.86853771769296,9.897924613314019e-4,cd
fixed,NA,source3,0.0890622641679962,0.02100475149871913,4.240100825445482,267.43430879476074,3.080306747611346e-5,cd
ran_pars,family_id:file_name,sd__(Intercept),0.08388030392117198,NA,NA,NA,NA,cd
ran_pars,family_id,sd__(Intercept),0.05909311333638507,NA,NA,NA,NA,cd
ran_pars,Residual,sd__Observation,0.09805610433854432,NA,NA,NA,NA,cd
