effect,group,term,estimate,std.error,statistic,df,p.value,metric
fixed,NA,(Intercept),0.3574110445752693,0.004633675945464415,77.13337073670726,61.3947838557953,7.862048369170116e-63,density
fixed,NA,source1,0.10546946193907217,0.016053666427426373,6.569805247658954,461.20629473280485,1.362982713187951e-10,density
fixed,NA,source2,0.08022109232721121,0.01586944605470026,5.0550656935785785,153.45913767455446,1.2105587766149132e-6,density
fixed,NA,source3,-0.09965287583752708,0.015150146865445278,-6.577683815383804,138.23821937795157,9.097070930651773e-10,density
ran_pars,family_id:file_name,sd__(Intercept),0.02228112745880423,NA,NA,NA,NA,density
ran_pars,family_id,sd__(Intercept),0.010260604656171565,NA,NA,NA,NA,density
ran_pars,Residual,sd__Observation,0.08113795377612872,NA,NA,NA,NA,density
