effect,group,term,estimate,std.error,statistic,df,p.value,metric
fixed,NA,(Intercept),39.26980879866934,1.4323736982011515,27.41589631810915,59.70988708647085,1.576859846709925e-35,mtld
fixed,NA,source1,25.975731573152068,3.597086685229609,7.221324879329114,490.614358609684,1.9756050682411002e-12,mtld
fixed,NA,source2,1.6132057324910365,3.577500055092548,0.4509310154152615,248.52256348493265,0.6524324547121689,mtld
fixed,NA,source3,-15.282434015985908,3.3818308255921763,-4.518982410455104,223.38691263163417,1.0072259163777996e-5,mtld
ran_pars,family_id:file_name,sd__(Intercept),3.1559553315480446,NA,NA,NA,NA,mtld
ran_pars,family_id,sd__(Intercept),6.73267065366765,NA,NA,NA,NA,mtld
ran_pars,Residual,sd__Observation,18.180067627144265,NA,NA,NA,NA,mtld
