effect,group,term,estimate,std.error,statistic,df,p.value,metric
fixed,NA,(Intercept),0.08648980663347862,0.005089829420367731,16.99267293465208,69.08390482002041,2.2505810643505713e-26,complexity
fixed,NA,source1,0.08888011927722721,0.013631287005975358,6.520302832613389,549.6100365083216,1.5914376287784627e-10,complexity
fixed,NA,source2,0.07432913292721578,0.013313812214587013,5.582858743176395,314.7013038980503,5.114411223691613e-8,complexity
fixed,NA,source3,-0.08212908716002244,0.012304941769215845,-6.674479952882887,290.13069923182485,1.2583463540199475e-10,complexity
ran_pars,family_id:file_name,sd__(Intercept),0.022382585790015615,NA,NA,NA,NA,complexity
ran_pars,family_id,sd__(Intercept),0.02229079447022028,NA,NA,NA,NA,complexity
ran_pars,Residual,sd__Observation,0.06445569774978202,NA,NA,NA,NA,complexity
