effect,group,term,estimate,std.error,statistic,df,p.value,metric
fixed,NA,(Intercept),4.407311784157091,0.11358771386709084,38.80095508669268,53.40086754364331,8.317052653946529e-41,mlu
fixed,NA,source1,2.086210401608261,0.22527078639598178,9.260900780721355,567.1849864029633,4.147125534361781e-19,mlu
fixed,NA,source2,2.105805663590499,0.2195705659874172,9.590564446198018,385.2955529599886,1.1231763528517413e-19,mlu
fixed,NA,source3,-1.9727342532856873,0.20593527616367815,-9.579389651133644,355.66823815572224,1.7319544428287976e-19,mlu
ran_pars,family_id:file_name,sd__(Intercept),0.21883555638363628,NA,NA,NA,NA,mlu
ran_pars,family_id,sd__(Intercept),0.6217832343754481,NA,NA,NA,NA,mlu
ran_pars,Residual,sd__Observation,1.0971790527286187,NA,NA,NA,NA,mlu
