effect,group,term,estimate,std.error,statistic,df,p.value,metric
fixed,NA,(Intercept),2.915579744207473,0.0206975960521925,140.86562211646918,58.79959213105819,4.4528106392678036e-76,freq
fixed,NA,source1,-0.29854291281258144,0.046742372662177546,-6.386986706264334,464.7435948285714,4.1101865365733573e-10,freq
fixed,NA,source2,-0.13567976354252592,0.04260270420274212,-3.1847688094361133,203.14469774069264,0.0016768192187902955,freq
fixed,NA,source3,0.20135188361451997,0.04017377069350595,5.012023520288284,204.382205584646,1.1644008558678446e-6,freq
ran_pars,family_id:file_name,sd__(Intercept),0.12317851590360035,NA,NA,NA,NA,freq
ran_pars,family_id,sd__(Intercept),0.10260281187455011,NA,NA,NA,NA,freq
ran_pars,Residual,sd__Observation,0.20030685857988254,NA,NA,NA,NA,freq
